titulo,artista,edicion,genero,idioma,dificultad,coaches,archivo,edicion_codigo,map_name
Automaton,Jamiroquai,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,automatonaltretake_pc.ipk,2018,AutomatonALTRetake
Automaton,Jamiroquai,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,automaton_pc.ipk,2018,Automaton
Bad Liar,Selena Gomez,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,badliar_pc.ipk,2018,BadLiar
Beep Beep I'm a Sheep,LilDeuceDeuce ft. Black Gryph0n & TomSka,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,beepbeep_pc.ipk,2018,BeepBeep
Blow Your Mind (Mwah),Dua Lipa,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,blowyourmind_pc.ipk,2018,BlowYourMind
Blue (Da Ba Dee),Eiffel 65,Just Dance 2018,Dance / Electrónica,Inglés,1,1,blue_pc.ipk,2018,Blue
Boom Boom,Iggy Azalea Ft. Zedd,Just Dance 2018,Dance / Electrónica,Inglés,3,3,copperhead_pc.ipk,2018,Copperhead
Bubble Pop!,HyunA,Just Dance 2018,K-Pop,Coreano,1,4,bubblepopalt_pc.ipk,2018,BubblePopALT
Bubble Pop!,HyunA,Just Dance 2018,K-Pop,Coreano,2,3,bubblepop_pc.ipk,2018,BubblePop
Carmen (Ouverture),The Just Dance Orchestra,Just Dance 2018,Clásica / Instrumental,Inglés,1,2,carmen_pc.ipk,2018,Carmen
Chantaje,Shakira ft. Maluma,Just Dance 2018,Pop Latino / Urbano,Spanglish,2,3,chantajealt_pc.ipk,2018,ChantajeALT
Chantaje,Shakira ft. Maluma,Just Dance 2018,Pop Latino / Urbano,Spanglish,2,2,chantaje_pc.ipk,2018,Chantaje
Daddy Cool,Boney M,Just Dance 2018,K-Pop,Coreano,1,1,daddycool_pc.ipk,2018,DaddyCool
Dame Tu Cosita,El Chombo Ft. Cutty Ranks,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,dametu_pc.ipk,2018,DameTu
Despacito,Luis Fonsi & Daddy Yankee,Just Dance 2018,Pop Latino / Urbano,Spanglish,4,1,despacitoalt_pc.ipk,2018,DespacitoALT
Despacito,Luis Fonsi & Daddy Yankee,Just Dance 2018,Pop Latino / Urbano,Spanglish,1,4,despacito_pc.ipk,2018,Despacito
Dharma,Headhunterz & KSHMR,Just Dance 2018,Pop / Dance-Pop,Inglés,3,2,dharmaalt_pc.ipk,2018,DharmaALT
Dharma,Headhunterz & KSHMR,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,dharma_pc.ipk,2018,Dharma
Diggy,Spencer Ludwig,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,diggy_pc.ipk,2018,Diggy
Error,Natalia Nykiel,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,error_pc.ipk,2018,Error
Feel It Still,Portugal. The Man,Just Dance 2018,Rock / Pop Rock,Inglés,2,1,feelit_pc.ipk,2018,FeelIt
Fight Club,Lights,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,sidewinder_pc.ipk,2018,Sidewinder
Footloose,Top Culture,Just Dance 2018,Banda Sonora / Musical,Inglés,2,1,footloose_pc.ipk,2018,Footloose
Got That,Gigi Rowe,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,gotthat_pc.ipk,2018,GotThat
How Far I'll Go,Disney's Moana,Just Dance 2018,Banda Sonora / Musical,Inglés,2,1,howfar_pc.ipk,2018,HowFar
In The Hall Of The Pixel King,Dancing Bros.,Just Dance 2018,Clásica / Instrumental,Instrumental,2,1,8bitretake_pc.ipk,2018,8BitRetake
Instruction,Jax Jones ft. Demi Lovato & Stefflon Don,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,instruction_pc.ipk,2018,Instruction
Itsy Bitsy Teenie Weenie,The Sunlight Shakers,Just Dance 2018,Pop / Dance-Pop,Inglés,1,2,itsybitsyretake_pc.ipk,2018,ItsyBitsyRetake
J'Suis Pas Jalouse,Andy,Just Dance 2018,Pop / Dance-Pop,Inglés,1,2,andy_pc.ipk,2018,Andy
John Wayne,Lady Gaga,Just Dance 2018,Pop / Dance-Pop,Inglés,4,1,johnwalt_pc.ipk,2018,JohnWALT
John Wayne,Lady Gaga,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,johnw_pc.ipk,2018,JohnW
Just Mario,Ubisoft meets Nintendo,Just Dance 2018,Pop / Dance-Pop,Inglés,3,1,marionx_pc.ipk,2018,MarioNX
Keep On Moving,Michelle Delamor,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,keepon_pc.ipk,2018,KeepOn
Kissing Strangers,DNCE ft. Nicki Minaj,Just Dance 2018,Rock / Pop Rock,Inglés,3,2,kissingstrangersalt_pc.ipk,2018,KissingStrangersALT
Kissing Strangers,DNCE ft. Nicki Minaj,Just Dance 2018,Rock / Pop Rock,Inglés,2,2,kissingstrangers_pc.ipk,2018,KissingStrangers
Love Ward,Hatsune Miku,Just Dance 2018,Pop / Dance-Pop,Inglés,3,3,loveward_pc.ipk,2018,LoveWard
Make It Jingle,Big Freedia,Just Dance 2018,Rock / Pop Rock,Inglés,1,1,makeitjingle_pc.ipk,2018,MakeItJingle
Mi Gente,"J Balvin, Willy William",Just Dance 2018,Infantil,Inglés,2,3,migente_pc.ipk,2018,MiGente
Naughty Girl,Beyoncé,Just Dance 2018,R&B / Soul,Inglés,1,1,naughtygirlalt_pc.ipk,2018,NaughtyGirlALT
Naughty Girl,Beyoncé,Just Dance 2018,R&B / Soul,Inglés,3,1,naughtygirl_pc.ipk,2018,NaughtyGirl
New Face,PSY,Just Dance 2018,K-Pop,Coreano,2,3,newface_pc.ipk,2018,NewFace
No Lie,Sean Paul Ft. Dua Lipa,Just Dance 2018,Pop / Dance-Pop,Inglés,2,2,nolie_pc.ipk,2018,NoLie
Risky Business,Jorge Blanco,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,riskybusiness_pc.ipk,2018,RiskyBusiness
Rockabye,Clean Bandit ft. Sean Paul & Anne-Marie,Just Dance 2018,Dance / Electrónica,Inglés,1,2,rockabye_pc.ipk,2018,Rockabye
Sax,Fleur East,Just Dance 2018,Pop / Dance-Pop,Inglés,2,3,sax_pc.ipk,2018,Sax
Sayonara,Wanko Ni Mero Mero,Just Dance 2018,J-Pop,Japonés,3,1,sayonararetake_pc.ipk,2018,SayonaraRetake
Shape Of You,Ed Sheeran,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,shapeofyou_pc.ipk,2018,ShapeOfYou
Side To Side,Ariana Grande ft. Nicki Minaj,Just Dance 2018,Hip-Hop / Rap,Inglés,2,1,sidetoalt_pc.ipk,2018,SideToALT
Side To Side,Ariana Grande ft. Nicki Minaj,Just Dance 2018,Hip-Hop / Rap,Inglés,1,1,sideto_pc.ipk,2018,SideTo
Slumber Party,Britney Spears ft. Tinashe,Just Dance 2018,Hip-Hop / Rap,Inglés,1,4,slumberparty_pc.ipk,2018,SlumberParty
Sugar Dance,The Just Dance Band,Just Dance 2018,Pop / Dance-Pop,Inglés,1,1,sugardance_pc.ipk,2018,SugarDance
Sun,Demo,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,sun_pc.ipk,2018,Sun
Swish Swish,Katy Perry ft. Nicki Minaj,Just Dance 2018,Hip-Hop / Rap,Inglés,2,4,swishswish_pc.ipk,2018,SwishSwish
Tamta Dziewczyna,Sylwia Grzeszczak,Just Dance 2018,Pop / Dance-Pop,Inglés,2,1,thatgirl_pc.ipk,2018,ThatGirl
